Designator,Mid X,Mid Y,Rotation,Layer
D1,63.239538,-48.621543,285.0,bottom
D10,253.052467,-45.920035,255.0,bottom
D11,58.839615,-65.042294,285.0,bottom
D12,76.873324,-67.286214,285.0,bottom
D13,95.151753,-69.595713,285.0,bottom
D14,111.646648,-76.603696,285.0,bottom
D15,128.38626,-83.677258,285.0,bottom
D16,177.12026,-92.61011,75.0,bottom
D17,204.737623,-73.732279,255.0,bottom
D18,221.424739,-66.672791,255.0,bottom
D19,239.484333,-64.525456,255.0,bottom
D2,81.273251,-50.865474,285.0,bottom
D20,257.518054,-62.281526,255.0,bottom
D21,54.439693,-81.463032,285.0,bottom
D22,72.473398,-83.706951,285.0,bottom
D23,90.507114,-85.950882,285.0,bottom
D24,107.24674,-93.024442,285.0,bottom
D25,123.986344,-100.097999,285.0,bottom
D26,181.419483,-109.119959,75.0,bottom
D27,209.085042,-90.167086,255.0,bottom
D28,225.824663,-83.093539,255.0,bottom
D29,243.884258,-80.946198,255.0,bottom
D3,99.306955,-53.109395,285.0,bottom
D30,261.917967,-78.70226,255.0,bottom
D31,84.146512,-114.704845,285.0,bottom
D32,103.524688,-124.671761,300.0,bottom
D33,119.868095,-139.308889,315.0,bottom
D34,189.403103,-145.169848,225.0,bottom
D35,211.096234,-117.992078,240.0,bottom
D36,232.199035,-111.07801,255.0,bottom
D4,116.046578,-60.182963,285.0,bottom
D5,132.7862,-67.256522,285.0,bottom
D6,172.721041,-76.187319,75.0,bottom
D7,200.285194,-57.325612,255.0,bottom
D8,217.024813,-50.252055,255.0,bottom
D9,235.084409,-48.104713,255.0,bottom
L1,132.77671,-97.086235,285.0,bottom
L2,170.067037,-96.417664,75.0,bottom
S1,55.619556,-50.979699,15.0,bottom
S10,247.632451,-51.772256,345.0,bottom
S11,51.219635,-67.400438,15.0,bottom
S12,69.253344,-69.644369,15.0,bottom
S13,87.28706,-71.888301,15.0,bottom
S14,104.02668,-78.961848,15.0,bottom
S15,120.766292,-86.035412,15.0,bottom
S16,182.540282,-86.757893,165.0,bottom
S17,199.265104,-79.598558,345.0,bottom
S18,216.00472,-72.525005,345.0,bottom
S19,234.064312,-70.377678,345.0,bottom
S2,73.65327,-53.223629,15.0,bottom
S20,252.098029,-68.133738,345.0,bottom
S21,46.81971,-83.82118,15.0,bottom
S22,64.853419,-86.065115,15.0,bottom
S23,82.887137,-88.309028,15.0,bottom
S24,99.626751,-95.382589,15.0,bottom
S25,116.366369,-102.456148,15.0,bottom
S26,186.905154,-103.208492,165.0,bottom
S27,203.665028,-96.019302,345.0,bottom
S28,220.404655,-88.94574,345.0,bottom
S29,238.464244,-86.798415,345.0,bottom
S3,91.686972,-55.467563,15.0,bottom
S30,256.497953,-84.554481,345.0,bottom
S31,76.316423,-117.006711,15.0,bottom
S32,95.554018,-124.977365,30.0,bottom
S33,112.089937,-137.541124,45.0,bottom
S34,191.082322,-137.480207,135.0,bottom
S35,207.579013,-124.930211,330.0,bottom
S36,226.779017,-116.930216,345.0,bottom
S4,108.426596,-62.541115,15.0,bottom
S5,125.166219,-69.614673,15.0,bottom
S6,178.141062,-70.335106,165.0,bottom
S7,194.865173,-63.177823,345.0,bottom
S8,211.604803,-56.104261,345.0,bottom
S9,229.59874,-54.016173,345.0,bottom
